Maturity_Years,Maturity_Days,alpha,beta,rho,nu
0.030136986301369864,11,2.0,0.5,-0.99,2.0
0.03287671232876712,11,2.0,0.5,-0.99,2.0
0.057534246575342465,21,2.0,0.5,-0.99,2.0
0.06027397260273973,22,2.0,0.5,-0.9775211548772721,2.0
0.13424657534246576,49,2.0,0.5,-0.7684406934315905,2.0
0.14520547945205478,52,2.0,0.5,-0.99,2.0
0.15342465753424658,56,2.0,0.5,-0.99,2.0
0.1589041095890411,58,2.0,0.5,-0.9576274937502537,2.0
0.2219178082191781,81,2.0,0.5,-0.657256111505712,2.0
0.2273972602739726,83,0.3,0.5,0.0,0.3
0.2465753424657534,90,2.0,0.5,-0.6970290668626816,2.0
0.2493150684931507,91,2.0,0.5,-0.7102401631786187,2.0
0.3041095890410959,111,2.0,0.5,-0.6124784295203648,2.0
0.3095890410958904,113,2.0,0.5,-0.5790284037730479,2.0
0.4712328767123288,172,2.0,0.5,-0.38801838516228304,2.0
0.4767123287671233,174,2.0,0.5,-0.3269550331540819,2.0
0.4794520547945205,175,2.0,0.5,-0.48424706051398575,2.0
0.7315068493150685,267,2.0,0.5,-0.3447463584299397,2.0
0.7342465753424657,268,2.0,0.5,-0.3954920414798068,2.0
0.7726027397260274,282,2.0,0.5,-0.38202661359451223,2.0
0.9753424657534246,356,2.0,0.5,-0.2528220461599468,2.0
0.9780821917808219,357,2.0,0.5,0.2068510117310682,2.0
0.9863013698630136,360,0.3,0.5,0.0,0.3
0.9945205479452055,363,2.0,0.5,-0.18850838176531587,2.0
1.936986301369863,707,2.0,0.5,0.45337061984202254,1.9822332655519255
1.9397260273972603,708,2.0,0.5,-0.40679563285204295,2.0
1.9452054794520548,710,2.0,0.5,-0.6690810923265113,1.5883555516436554
1.9479452054794522,711,2.0,0.5,0.02849760878625231,2.0
2.9342465753424656,1071,2.0,0.5,-0.5383552757336447,1.6596952718123335
2.936986301369863,1072,2.0,0.5,-0.47676437097423,1.4568318320355886
3.9506849315068493,1442,2.0,0.5,-0.5537037367074037,1.4157456152213201
3.9534246575342467,1443,2.0,0.5,-0.5723353041989867,1.3396920565236248
4.947945205479452,1806,0.6701587417464375,0.5,-0.10245073547843027,1.5377335440529538
4.953424657534247,1808,2.0,0.5,-0.544528236902256,1.3746503042730187
4.956164383561644,1809,2.0,0.5,0.6291697645822661,1.5880972708607866
