underlying_ticker,trading_date,maturity_date,strike,option_type,option_contract,option_price
SPX,,2026-01-16,200.0,CALL,SPX260116C00200000,
SPX,,2026-01-16,200.0,PUT,SPX260116P00200000,
SPX,,2026-01-16,400.0,CALL,SPX260116C00400000,
SPX,,2026-01-16,400.0,PUT,SPX260116P00400000,
SPX,,2026-01-16,600.0,CALL,SPX260116C00600000,
SPX,,2026-01-16,600.0,PUT,SPX260116P00600000,
SPX,,2026-01-16,800.0,CALL,SPX260116C00800000,
SPX,,2026-01-16,800.0,PUT,SPX260116P00800000,
SPX,,2026-01-16,1000.0,CALL,SPX260116C01000000,
SPX,,2026-01-16,1000.0,PUT,SPX260116P01000000,
SPX,,2026-01-16,1200.0,CALL,SPX260116C01200000,
SPX,,2026-01-16,1200.0,PUT,SPX260116P01200000,
SPX,,2026-01-16,1800.0,PUT,SPX260116P01800000,
SPX,,2026-01-16,2000.0,PUT,SPX260116P02000000,
SPX,,2026-01-16,2200.0,CALL,SPX260116C02200000,
SPX,,2026-01-16,2200.0,PUT,SPX260116P02200000,
SPX,,2026-01-16,2300.0,PUT,SPX260116P02300000,
SPX,,2026-01-16,2400.0,CALL,SPX260116C02400000,
SPX,,2026-01-16,2500.0,CALL,SPX260116C02500000,
SPX,,2026-01-16,2500.0,PUT,SPX260116P02500000,
SPX,,2026-01-16,2600.0,CALL,SPX260116C02600000,
SPX,,2026-01-16,2600.0,PUT,SPX260116P02600000,
SPX,,2026-01-16,2700.0,CALL,SPX260116C02700000,
SPX,,2026-01-16,2700.0,PUT,SPX260116P02700000,
SPX,,2026-01-16,2900.0,CALL,SPX260116C02900000,
SPX,,2026-01-16,2900.0,PUT,SPX260116P02900000,
SPX,,2026-01-16,3000.0,CALL,SPX260116C03000000,
SPX,,2026-01-16,3100.0,CALL,SPX260116C03100000,
SPX,,2026-01-16,3100.0,PUT,SPX260116P03100000,
SPX,,2026-01-16,3200.0,PUT,SPX260116P03200000,
SPX,,2026-01-16,3300.0,CALL,SPX260116C03300000,
SPX,,2026-01-16,3300.0,PUT,SPX260116P03300000,
SPX,,2026-01-16,3350.0,CALL,SPX260116C03350000,
SPX,,2026-01-16,3350.0,PUT,SPX260116P03350000,
SPX,,2026-01-16,3450.0,CALL,SPX260116C03450000,
SPX,,2026-01-16,3450.0,PUT,SPX260116P03450000,
SPX,,2026-01-16,3500.0,CALL,SPX260116C03500000,
SPX,,2026-01-16,3500.0,PUT,SPX260116P03500000,
SPX,,2026-01-16,3550.0,CALL,SPX260116C03550000,
SPX,,2026-01-16,3550.0,PUT,SPX260116P03550000,
SPX,,2026-01-16,3600.0,CALL,SPX260116C03600000,
SPX,,2026-01-16,3600.0,PUT,SPX260116P03600000,
SPX,,2026-01-16,3650.0,CALL,SPX260116C03650000,
SPX,,2026-01-16,3650.0,PUT,SPX260116P03650000,
SPX,,2026-01-16,3700.0,CALL,SPX260116C03700000,
SPX,,2026-01-16,3750.0,CALL,SPX260116C03750000,
SPX,,2026-01-16,3750.0,PUT,SPX260116P03750000,
SPX,,2026-01-16,3850.0,CALL,SPX260116C03850000,
SPX,,2026-01-16,3850.0,PUT,SPX260116P03850000,
SPX,,2026-01-16,3875.0,CALL,SPX260116C03875000,
SPX,,2026-01-16,3875.0,PUT,SPX260116P03875000,
SPX,,2026-01-16,3900.0,PUT,SPX260116P03900000,
SPX,,2026-01-16,3925.0,PUT,SPX260116P03925000,
SPX,,2026-01-16,3975.0,PUT,SPX260116P03975000,
SPX,,2026-01-16,4000.0,CALL,SPX260116C04000000,
SPX,,2026-01-16,4000.0,PUT,SPX260116P04000000,
SPX,,2026-01-16,4025.0,PUT,SPX260116P04025000,
SPX,,2026-01-16,4050.0,CALL,SPX260116C04050000,
SPX,,2026-01-16,4050.0,PUT,SPX260116P04050000,
SPX,,2026-01-16,4075.0,CALL,SPX260116C04075000,
SPX,,2026-01-16,4075.0,PUT,SPX260116P04075000,
SPX,,2026-01-16,4125.0,CALL,SPX260116C04125000,
SPX,,2026-01-16,4125.0,PUT,SPX260116P04125000,
SPX,,2026-01-16,4150.0,CALL,SPX260116C04150000,
SPX,,2026-01-16,4175.0,CALL,SPX260116C04175000,
SPX,,2026-01-16,4175.0,PUT,SPX260116P04175000,
SPX,,2026-01-16,4200.0,CALL,SPX260116C04200000,
SPX,,2026-01-16,4200.0,PUT,SPX260116P04200000,
SPX,,2026-01-16,4225.0,CALL,SPX260116C04225000,
SPX,,2026-01-16,4225.0,PUT,SPX260116P04225000,
SPX,,2026-01-16,4250.0,CALL,SPX260116C04250000,
SPX,,2026-01-16,4275.0,CALL,SPX260116C04275000,
SPX,,2026-01-16,4275.0,PUT,SPX260116P04275000,
SPX,,2026-01-16,4300.0,PUT,SPX260116P04300000,
SPX,,2026-01-16,4325.0,PUT,SPX260116P04325000,
SPX,,2026-01-16,4375.0,PUT,SPX260116P04375000,
SPX,,2026-01-16,4400.0,CALL,SPX260116C04400000,
SPX,,2026-01-16,4425.0,CALL,SPX260116C04425000,
SPX,,2026-01-16,4425.0,PUT,SPX260116P04425000,
SPX,,2026-01-16,4450.0,CALL,SPX260116C04450000,
SPX,,2026-01-16,4450.0,PUT,SPX260116P04450000,
SPX,,2026-01-16,4475.0,CALL,SPX260116C04475000,
