underlying_ticker,trading_date,maturity_date,strike,option_type,option_contract,option_price,spot_price
SPXW,2026-01-08,2026-01-12,5500,PUT,SPXW260112P05500000,0.05,6921.46
SPXW,2026-01-08,2026-01-12,5600,PUT,SPXW260112P05600000,0.05,6921.46
SPXW,2025-12-29,2026-01-12,6100,CALL,SPXW260112C06100000,804.3,6905.74
SPXW,2026-01-09,2026-01-12,6150,PUT,SPXW260112P06150000,0.05,6966.28
SPXW,2026-01-09,2026-01-12,6390,PUT,SPXW260112P06390000,0.05,6966.28
SPXW,2026-01-09,2026-01-12,6400,PUT,SPXW260112P06400000,0.05,6966.28
SPXW,2026-01-09,2026-01-12,6495,PUT,SPXW260112P06495000,0.1,6966.28
SPXW,2026-01-09,2026-01-12,6500,PUT,SPXW260112P06500000,0.05,6966.28
SPXW,2026-01-06,2026-01-12,6550,CALL,SPXW260112C06550000,387.61,6944.82
SPXW,2026-01-09,2026-01-12,6570,PUT,SPXW260112P06570000,0.15,6966.28
SPXW,2025-12-26,2026-01-12,6590,CALL,SPXW260112C06590000,354.84,6929.94
SPXW,2026-01-02,2026-01-12,6620,CALL,SPXW260112C06620000,321.62,6858.47
SPXW,2026-01-09,2026-01-12,6625,PUT,SPXW260112P06625000,0.1,6966.28
SPXW,2026-01-09,2026-01-12,6675,PUT,SPXW260112P06675000,0.1,6966.28
SPXW,2026-01-09,2026-01-12,6680,PUT,SPXW260112P06680000,0.15,6966.28
SPXW,2026-01-08,2026-01-12,6680,CALL,SPXW260112C06680000,231.84,6921.46
SPXW,2026-01-09,2026-01-12,6770,PUT,SPXW260112P06770000,0.15,6966.28
SPXW,2026-01-09,2026-01-12,6770,CALL,SPXW260112C06770000,200,6966.28
SPXW,2026-01-09,2026-01-12,6805,CALL,SPXW260112C06805000,146.4,6966.28
SPXW,2026-01-09,2026-01-12,6805,PUT,SPXW260112P06805000,0.25,6966.28
SPXW,2026-01-09,2026-01-12,6845,PUT,SPXW260112P06845000,0.42,6966.28
SPXW,2026-01-09,2026-01-12,6845,CALL,SPXW260112C06845000,128,6966.28
SPXW,2026-01-09,2026-01-12,6890,PUT,SPXW260112P06890000,1.27,6966.28
SPXW,2026-01-09,2026-01-12,6890,CALL,SPXW260112C06890000,78.2,6966.28
SPXW,2026-01-09,2026-01-12,6930,CALL,SPXW260112C06930000,38.7,6966.28
SPXW,2026-01-09,2026-01-12,6930,PUT,SPXW260112P06930000,4.04,6966.28
SPXW,2026-01-09,2026-01-12,6965,PUT,SPXW260112P06965000,12.9,6966.28
SPXW,2026-01-09,2026-01-12,6965,CALL,SPXW260112C06965000,12.92,6966.28
SPXW,2026-01-09,2026-01-12,6985,PUT,SPXW260112P06985000,24.6,6966.28
SPXW,2026-01-09,2026-01-12,6990,PUT,SPXW260112P06990000,28.5,6966.28
SPX,2025-10-06,2026-01-16,3500,CALL,SPX260116C03500000,3274.83,6740.28
SPX,2026-01-09,2026-01-16,3600,PUT,SPX260116P03600000,0.03,6966.28
SPX,2025-09-02,2026-01-16,4150,CALL,SPX260116C04150000,2325.06,6415.54
SPX,2026-01-08,2026-01-16,4475,PUT,SPX260116P04475000,0.15,6921.46
SPX,2026-01-02,2026-01-16,5050,CALL,SPX260116C05050000,1792.32,6858.47
SPX,2026-01-09,2026-01-16,5150,PUT,SPX260116P05150000,0.05,6966.28
SPX,2025-12-15,2026-01-16,5460,CALL,SPX260116C05460000,1400.42,6816.51
SPX,2026-01-09,2026-01-16,5575,PUT,SPX260116P05575000,0.2,6966.28
SPXW,2025-11-24,2026-01-16,5580,CALL,SPXW260116C05580000,1157.11,6705.12
SPXW,2025-12-08,2026-01-16,5700,CALL,SPXW260116C05700000,1165.84,6846.51
SPX,2025-11-21,2026-01-16,5870,CALL,SPX260116C05870000,850.48,6602.99
SPX,2026-01-09,2026-01-16,6030,PUT,SPX260116P06030000,0.35,6966.28
SPXW,2026-01-09,2026-01-16,6040,PUT,SPXW260116P06040000,0.25,6966.28
SPX,2026-01-06,2026-01-16,6175,CALL,SPX260116C06175000,747.8,6944.82
SPXW,2026-01-05,2026-01-16,6275,CALL,SPXW260116C06275000,645.4,6902.05
SPXW,2026-01-09,2026-01-16,6330,PUT,SPXW260116P06330000,0.5,6966.28
SPX,2025-12-10,2026-01-16,6385,CALL,SPX260116C06385000,513.09,6886.68
SPXW,2026-01-05,2026-01-16,6400,CALL,SPXW260116C06400000,525.72,6902.05
SPXW,2025-11-21,2026-01-16,6465,CALL,SPXW260116C06465000,305.5,6602.99
SPX,2025-12-19,2026-01-16,6470,CALL,SPX260116C06470000,494.49,6834.5
SPXW,2025-12-31,2026-01-16,6480,CALL,SPXW260116C06480000,459.77,6845.5
SPX,2025-12-19,2026-01-16,6580,CALL,SPX260116C06580000,295.26,6834.5
SPXW,2026-01-06,2026-01-16,6685,CALL,SPXW260116C06685000,274.88,6944.82
SPXW,2026-01-07,2026-01-16,6780,CALL,SPXW260116C06780000,189.83,6920.93
SPXW,2026-01-09,2026-01-16,6935,PUT,SPXW260116P06935000,24.47,6966.28
SPXW,2026-01-09,2026-01-16,6935,CALL,SPXW260116C06935000,64.99,6966.28
SPX,2026-01-09,2026-01-16,6965,CALL,SPX260116C06965000,37.08,6966.28
SPXW,2026-01-09,2026-01-16,6965,PUT,SPXW260116P06965000,35.22,6966.28
SPXW,2025-12-12,2026-01-16,7190,PUT,SPXW260116P07190000,341.11,6827.41
SPXW,2025-10-29,2026-01-16,7240,PUT,SPXW260116P07240000,346.85,6890.59
SPXW,2026-01-09,2026-01-20,5400,PUT,SPXW260120P05400000,0.15,6966.28
SPXW,2026-01-09,2026-01-20,5500,PUT,SPXW260120P05500000,0.17,6966.28
SPXW,2026-01-09,2026-01-20,6000,PUT,SPXW260120P06000000,0.4,6966.28
SPXW,2026-01-09,2026-01-20,6025,PUT,SPXW260120P06025000,0.4,6966.28
SPXW,2026-01-08,2026-01-20,6275,PUT,SPXW260120P06275000,1,6921.46
SPXW,2026-01-09,2026-01-20,6300,PUT,SPXW260120P06300000,0.65,6966.28
SPXW,2026-01-08,2026-01-20,6510,PUT,SPXW260120P06510000,2.69,6921.46
SPXW,2026-01-02,2026-01-20,6525,CALL,SPXW260120C06525000,330.2,6858.47
SPXW,2026-01-09,2026-01-20,6550,PUT,SPXW260120P06550000,1.37,6966.28
SPXW,2026-01-09,2026-01-20,6630,PUT,SPXW260120P06630000,2.1,6966.28
SPXW,2026-01-09,2026-01-20,6685,PUT,SPXW260120P06685000,2.98,6966.28
SPXW,2026-01-09,2026-01-20,6690,PUT,SPXW260120P06690000,2.85,6966.28
SPXW,2026-01-09,2026-01-20,6740,PUT,SPXW260120P06740000,4.1,6966.28
