underlying_ticker,trading_date,maturity_date,strike,option_type,option_contract,option_price,spot_price
SPXW,2026-01-09,2026-01-12,2800,PUT,SPXW260112P02800000,0.05,6966.28
SPXW,2026-01-08,2026-01-12,5400,PUT,SPXW260112P05400000,0.05,6921.46
SPXW,2026-01-08,2026-01-12,5500,PUT,SPXW260112P05500000,0.05,6921.46
SPXW,2026-01-09,2026-01-12,6100,PUT,SPXW260112P06100000,0.03,6966.28
SPXW,2026-01-09,2026-01-12,6125,PUT,SPXW260112P06125000,0.05,6966.28
SPXW,2026-01-09,2026-01-12,6370,PUT,SPXW260112P06370000,0.05,6966.28
SPXW,2026-01-09,2026-01-12,6375,PUT,SPXW260112P06375000,0.05,6966.28
SPXW,2026-01-09,2026-01-12,6470,PUT,SPXW260112P06470000,0.1,6966.28
SPXW,2026-01-09,2026-01-12,6475,PUT,SPXW260112P06475000,0.1,6966.28
SPXW,2026-01-09,2026-01-12,6550,PUT,SPXW260112P06550000,0.07,6966.28
SPXW,2026-01-09,2026-01-12,6555,PUT,SPXW260112P06555000,0.15,6966.28
SPXW,2026-01-09,2026-01-12,6600,PUT,SPXW260112P06600000,0.1,6966.28
SPXW,2026-01-09,2026-01-12,6605,PUT,SPXW260112P06605000,0.1,6966.28
SPXW,2026-01-09,2026-01-12,6650,CALL,SPXW260112C06650000,323.8,6966.28
SPXW,2026-01-09,2026-01-12,6655,PUT,SPXW260112P06655000,0.1,6966.28
SPXW,2026-01-09,2026-01-12,6710,PUT,SPXW260112P06710000,0.1,6966.28
SPXW,2026-01-09,2026-01-12,6710,CALL,SPXW260112C06710000,266.3,6966.28
SPXW,2026-01-09,2026-01-12,6750,CALL,SPXW260112C06750000,219.5,6966.28
SPXW,2026-01-09,2026-01-12,6750,PUT,SPXW260112P06750000,0.12,6966.28
SPXW,2026-01-09,2026-01-12,6785,CALL,SPXW260112C06785000,185.02,6966.28
SPXW,2026-01-09,2026-01-12,6785,PUT,SPXW260112P06785000,0.17,6966.28
SPXW,2026-01-09,2026-01-12,6820,CALL,SPXW260112C06820000,145.8,6966.28
SPXW,2026-01-09,2026-01-12,6820,PUT,SPXW260112P06820000,0.27,6966.28
SPXW,2026-01-09,2026-01-12,6860,PUT,SPXW260112P06860000,0.6,6966.28
SPXW,2026-01-09,2026-01-12,6860,CALL,SPXW260112C06860000,113.15,6966.28
SPXW,2026-01-09,2026-01-12,6900,CALL,SPXW260112C06900000,67.45,6966.28
SPXW,2026-01-09,2026-01-12,6900,PUT,SPXW260112P06900000,1.6,6966.28
SPXW,2026-01-09,2026-01-12,6940,CALL,SPXW260112C06940000,30.22,6966.28
SPXW,2026-01-09,2026-01-12,6940,PUT,SPXW260112P06940000,5.4,6966.28
SPXW,2026-01-09,2026-01-12,6965,CALL,SPXW260112C06965000,12.92,6966.28
SPXW,2026-01-09,2026-01-12,6965,PUT,SPXW260112P06965000,12.9,6966.28
SPXW,2026-01-09,2026-01-12,6995,PUT,SPXW260112P06995000,32.53,6966.28
SPXW,2026-01-09,2026-01-12,7000,PUT,SPXW260112P07000000,36.98,6966.28
SPXW,2026-01-09,2026-01-16,1400,CALL,SPXW260116C01400000,5566.92,6966.28
SPX,2026-01-05,2026-01-16,3500,PUT,SPX260116P03500000,0.03,6902.05
SPX,2026-01-09,2026-01-16,3550,PUT,SPX260116P03550000,0.03,6966.28
SPX,2025-12-30,2026-01-16,4400,CALL,SPX260116C04400000,2509,6896.24
SPX,2026-01-09,2026-01-16,4450,PUT,SPX260116P04450000,0.05,6966.28
SPXW,2026-01-05,2026-01-16,5000,CALL,SPXW260116C05000000,1921.65,6902.05
SPXW,2026-01-09,2026-01-16,5050,PUT,SPXW260116P05050000,0.05,6966.28
SPXW,2026-01-02,2026-01-16,5430,PUT,SPXW260116P05430000,0.52,6858.47
SPXW,2026-01-09,2026-01-16,5525,PUT,SPXW260116P05525000,0.15,6966.28
SPXW,2025-12-17,2026-01-16,5530,CALL,SPXW260116C05530000,1263.59,6721.43
SPXW,2026-01-09,2026-01-16,5730,PUT,SPXW260116P05730000,0.1,6966.28
SPX,2026-01-02,2026-01-16,5850,CALL,SPX260116C05850000,991.03,6858.47
SPXW,2026-01-09,2026-01-16,5950,PUT,SPXW260116P05950000,0.2,6966.28
SPX,2025-12-16,2026-01-16,6110,CALL,SPX260116C06110000,687.8,6800.26
SPXW,2026-01-09,2026-01-16,6130,PUT,SPXW260116P06130000,0.3,6966.28
SPX,2026-01-09,2026-01-16,6135,PUT,SPX260116P06135000,0.45,6966.28
SPX,2026-01-09,2026-01-16,6255,PUT,SPX260116P06255000,0.46,6966.28
SPX,2026-01-08,2026-01-16,6335,CALL,SPX260116C06335000,590.14,6921.46
SPX,2026-01-09,2026-01-16,6380,PUT,SPX260116P06380000,0.62,6966.28
SPXW,2026-01-09,2026-01-16,6515,PUT,SPXW260116P06515000,0.8,6966.28
SPX,2026-01-09,2026-01-16,6520,PUT,SPX260116P06520000,0.75,6966.28
SPX,2025-12-23,2026-01-16,6585,CALL,SPX260116C06585000,352.6,6909.79
SPX,2026-01-09,2026-01-16,6640,PUT,SPX260116P06640000,1.1,6966.28
SPXW,2026-01-09,2026-01-16,6740,PUT,SPXW260116P06740000,2.75,6966.28
SPX,2026-01-09,2026-01-16,6740,CALL,SPX260116C06740000,206.69,6966.28
SPXW,2026-01-09,2026-01-16,6845,PUT,SPXW260116P06845000,8.3,6966.28
SPX,2026-01-09,2026-01-16,6845,CALL,SPX260116C06845000,136.37,6966.28
SPXW,2026-01-09,2026-01-16,6950,CALL,SPXW260116C06950000,48.32,6966.28
SPX,2026-01-09,2026-01-16,6950,PUT,SPX260116P06950000,27.17,6966.28
SPXW,2026-01-09,2026-01-16,6965,PUT,SPXW260116P06965000,35.22,6966.28
SPX,2026-01-09,2026-01-16,6965,CALL,SPX260116C06965000,37.08,6966.28
SPX,2025-12-30,2026-01-16,7320,PUT,SPX260116P07320000,402.33,6896.24
SPX,2025-12-24,2026-01-16,7360,PUT,SPX260116P07360000,415.31,6932.05
SPXW,2026-01-07,2026-01-20,2800,CALL,SPXW260120C02800000,4137.01,6920.93
SPXW,2026-01-09,2026-01-20,5200,PUT,SPXW260120P05200000,0.09,6966.28
SPXW,2026-01-09,2026-01-20,5400,PUT,SPXW260120P05400000,0.15,6966.28
SPXW,2026-01-08,2026-01-20,5950,PUT,SPXW260120P05950000,0.45,6921.46
SPXW,2026-01-06,2026-01-20,5975,PUT,SPXW260120P05975000,0.7,6944.82
SPXW,2026-01-09,2026-01-20,6225,PUT,SPXW260120P06225000,0.62,6966.28
SPXW,2026-01-09,2026-01-20,6250,PUT,SPXW260120P06250000,0.55,6966.28
SPXW,2026-01-09,2026-01-20,6500,PUT,SPXW260120P06500000,1.1,6966.28
SPXW,2026-01-09,2026-01-20,6525,PUT,SPXW260120P06525000,1.3,6966.28
SPXW,2026-01-09,2026-01-20,6590,PUT,SPXW260120P06590000,1.65,6966.28
SPXW,2026-01-09,2026-01-20,6600,PUT,SPXW260120P06600000,1.71,6966.28
SPXW,2026-01-08,2026-01-20,6625,CALL,SPXW260120C06625000,305.51,6921.46
SPXW,2026-01-09,2026-01-20,6665,PUT,SPXW260120P06665000,2.5,6966.28
SPXW,2026-01-09,2026-01-20,6715,PUT,SPXW260120P06715000,3.5,6966.28
SPXW,2026-01-09,2026-01-20,6720,PUT,SPXW260120P06720000,3.6,6966.28
SPXW,2026-01-05,2026-01-20,6740,CALL,SPXW260120C06740000,195.12,6902.05
SPXW,2026-01-06,2026-01-20,6750,CALL,SPXW260120C06750000,202.22,6944.82
SPXW,2026-01-09,2026-01-20,6770,PUT,SPXW260120P06770000,5.5,6966.28
SPXW,2026-01-02,2026-01-20,6785,CALL,SPXW260120C06785000,113.58,6858.47
SPXW,2026-01-09,2026-01-20,6805,PUT,SPXW260120P06805000,7.4,6966.28
SPXW,2026-01-09,2026-01-20,6830,CALL,SPXW260120C06830000,131.2,6966.28
SPXW,2026-01-09,2026-01-20,6835,PUT,SPXW260120P06835000,10.1,6966.28
SPXW,2026-01-08,2026-01-20,6850,CALL,SPXW260120C06850000,113.69,6921.46
SPXW,2026-01-09,2026-01-20,6860,CALL,SPXW260120C06860000,119.98,6966.28
SPXW,2026-01-09,2026-01-20,6865,PUT,SPXW260120P06865000,13.7,6966.28
SPXW,2026-01-09,2026-01-20,6925,CALL,SPXW260120C06925000,80.17,6966.28
SPXW,2026-01-09,2026-01-20,6925,PUT,SPXW260120P06925000,26.4,6966.28
SPXW,2026-01-09,2026-01-20,6955,CALL,SPXW260120C06955000,52,6966.28
SPXW,2026-01-09,2026-01-20,6955,PUT,SPXW260120P06955000,35.18,6966.28
SPXW,2026-01-09,2026-01-20,6965,CALL,SPXW260120C06965000,52.15,6966.28
SPXW,2026-01-09,2026-01-20,6965,PUT,SPXW260120P06965000,39.95,6966.28
SPXW,2026-01-09,2026-01-20,7020,PUT,SPXW260120P07020000,67.8,6966.28
SPXW,2026-01-09,2026-01-20,7025,PUT,SPXW260120P07025000,66.68,6966.28
SPXW,2025-12-30,2026-01-30,2400,PUT,SPXW260130P02400000,0.05,6896.24
SPXW,2026-01-07,2026-01-30,5075,PUT,SPXW260130P05075000,0.85,6920.93
SPXW,2026-01-09,2026-01-30,5110,PUT,SPXW260130P05110000,0.55,6966.28
SPXW,2026-01-08,2026-01-30,5310,PUT,SPXW260130P05310000,1.2,6921.46
SPXW,2026-01-09,2026-01-30,5340,PUT,SPXW260130P05340000,0.75,6966.28
