underlying_ticker,trading_date,maturity_date,strike,option_type,option_contract,option_price,spot_price
SPXW,2026-01-09,2026-01-12,2800,PUT,SPXW260112P02800000,0.05,6966.28
SPXW,2026-01-02,2026-01-12,4800,CALL,SPXW260112C04800000,2054.76,6858.47
SPXW,2026-01-08,2026-01-12,5825,PUT,SPXW260112P05825000,0.1,6921.46
SPXW,2026-01-09,2026-01-12,6075,PUT,SPXW260112P06075000,0.05,6966.28
SPXW,2026-01-09,2026-01-12,6225,PUT,SPXW260112P06225000,0.05,6966.28
SPXW,2026-01-07,2026-01-12,6375,CALL,SPXW260112C06375000,590.65,6920.93
SPXW,2026-01-09,2026-01-12,6440,PUT,SPXW260112P06440000,0.1,6966.28
SPXW,2026-01-08,2026-01-12,6480,PUT,SPXW260112P06480000,0.28,6921.46
SPXW,2025-12-31,2026-01-12,6530,CALL,SPXW260112C06530000,358.05,6845.5
SPXW,2026-01-09,2026-01-12,6565,PUT,SPXW260112P06565000,0.1,6966.28
SPXW,2026-01-09,2026-01-12,6600,PUT,SPXW260112P06600000,0.1,6966.28
SPXW,2026-01-09,2026-01-12,6640,PUT,SPXW260112P06640000,0.1,6966.28
SPXW,2026-01-07,2026-01-12,6675,CALL,SPXW260112C06675000,262.93,6920.93
SPXW,2026-01-09,2026-01-12,6705,CALL,SPXW260112C06705000,230.82,6966.28
SPXW,2026-01-09,2026-01-12,6730,CALL,SPXW260112C06730000,245.96,6966.28
SPXW,2026-01-09,2026-01-12,6755,CALL,SPXW260112C06755000,208.7,6966.28
SPXW,2026-01-09,2026-01-12,6780,CALL,SPXW260112C06780000,197.73,6966.28
SPXW,2026-01-09,2026-01-12,6805,CALL,SPXW260112C06805000,146.4,6966.28
SPXW,2026-01-09,2026-01-12,6830,CALL,SPXW260112C06830000,144.36,6966.28
SPXW,2026-01-09,2026-01-12,6855,CALL,SPXW260112C06855000,122.94,6966.28
SPXW,2026-01-09,2026-01-12,6880,CALL,SPXW260112C06880000,98,6966.28
SPXW,2026-01-09,2026-01-12,6905,CALL,SPXW260112C06905000,62.45,6966.28
SPXW,2026-01-09,2026-01-12,6930,CALL,SPXW260112C06930000,38.7,6966.28
SPXW,2026-01-09,2026-01-12,6955,CALL,SPXW260112C06955000,18.8,6966.28
SPXW,2026-01-09,2026-01-12,6990,PUT,SPXW260112P06990000,28.5,6966.28
SPXW,2026-01-09,2026-01-12,7060,PUT,SPXW260112P07060000,93.86,6966.28
SPX,2026-01-09,2026-01-16,200,CALL,SPX260116C00200000,6765,6966.28
SPX,2026-01-06,2026-01-16,1200,CALL,SPX260116C01200000,5730.93,6944.82
SPX,2025-12-26,2026-01-16,2600,CALL,SPX260116C02600000,4328,6929.94
SPX,2025-12-31,2026-01-16,3300,CALL,SPX260116C03300000,3556.58,6845.5
SPX,2025-12-23,2026-01-16,3600,CALL,SPX260116C03600000,3313.02,6909.79
SPX,2026-01-02,2026-01-16,3875,PUT,SPX260116P03875000,0.1,6858.47
SPX,2026-01-09,2026-01-16,4075,PUT,SPX260116P04075000,0.03,6966.28
SPX,2025-12-08,2026-01-16,4250,CALL,SPX260116C04250000,2608.98,6846.51
SPX,2026-01-09,2026-01-16,4450,PUT,SPX260116P04450000,0.05,6966.28
SPX,2025-12-17,2026-01-16,4675,CALL,SPX260116C04675000,2085.12,6721.43
SPX,2026-01-06,2026-01-16,4825,PUT,SPX260116P04825000,0.1,6944.82
SPX,2025-12-09,2026-01-16,4975,CALL,SPX260116C04975000,1892.23,6840.51
SPX,2026-01-09,2026-01-16,5125,PUT,SPX260116P05125000,0.1,6966.28
SPX,2026-01-08,2026-01-16,5400,CALL,SPX260116C05400000,1522.37,6921.46
SPX,2026-01-09,2026-01-16,5460,PUT,SPX260116P05460000,0.15,6966.28
SPX,2026-01-09,2026-01-16,5560,PUT,SPX260116P05560000,0.13,6966.28
SPX,2026-01-09,2026-01-16,5650,PUT,SPX260116P05650000,0.2,6966.28
SPX,2025-12-29,2026-01-16,5750,CALL,SPX260116C05750000,1152,6905.74
SPX,2026-01-09,2026-01-16,5800,PUT,SPX260116P05800000,0.15,6966.28
SPX,2025-12-19,2026-01-16,5875,CALL,SPX260116C05875000,981.75,6834.5
SPX,2026-01-09,2026-01-16,5940,PUT,SPX260116P05940000,0.3,6966.28
SPX,2025-12-12,2026-01-16,6030,CALL,SPX260116C06030000,856.71,6827.41
SPX,2026-01-09,2026-01-16,6080,PUT,SPX260116P06080000,0.4,6966.28
SPX,2026-01-09,2026-01-16,6135,PUT,SPX260116P06135000,0.45,6966.28
SPX,2026-01-09,2026-01-16,6175,PUT,SPX260116P06175000,0.3,6966.28
SPX,2026-01-06,2026-01-16,6225,CALL,SPX260116C06225000,688,6944.82
SPX,2026-01-09,2026-01-16,6280,PUT,SPX260116P06280000,0.55,6966.28
SPX,2026-01-09,2026-01-16,6325,PUT,SPX260116P06325000,0.55,6966.28
SPX,2026-01-09,2026-01-16,6365,PUT,SPX260116P06365000,0.6,6966.28
SPX,2025-12-02,2026-01-16,6415,CALL,SPX260116C06415000,482.52,6829.37
SPX,2026-01-09,2026-01-16,6475,PUT,SPX260116P06475000,0.65,6966.28
SPX,2026-01-09,2026-01-16,6530,PUT,SPX260116P06530000,0.8,6966.28
SPX,2025-12-23,2026-01-16,6585,CALL,SPX260116C06585000,352.6,6909.79
SPX,2026-01-09,2026-01-16,6620,PUT,SPX260116P06620000,1.25,6966.28
SPX,2026-01-09,2026-01-16,6695,CALL,SPX260116C06695000,275.8,6966.28
SPX,2026-01-09,2026-01-16,6745,PUT,SPX260116P06745000,2.5,6966.28
SPX,2026-01-09,2026-01-16,6800,PUT,SPX260116P06800000,4.13,6966.28
SPX,2026-01-09,2026-01-16,6840,PUT,SPX260116P06840000,6.85,6966.28
SPX,2026-01-09,2026-01-16,6880,CALL,SPX260116C06880000,107.26,6966.28
SPX,2026-01-09,2026-01-16,6930,PUT,SPX260116P06930000,20.05,6966.28
SPX,2026-01-09,2026-01-16,7020,PUT,SPX260116P07020000,85.66,6966.28
SPX,2026-01-09,2026-01-16,7125,PUT,SPX260116P07125000,161.94,6966.28
SPX,2026-01-02,2026-01-16,7350,PUT,SPX260116P07350000,470.26,6858.47
SPX,2026-01-05,2026-01-16,8500,PUT,SPX260116P08500000,1584.15,6902.05
SPXW,2026-01-08,2026-01-16,1400,PUT,SPXW260116P01400000,0.03,6921.46
SPXW,2025-12-23,2026-01-16,3400,CALL,SPXW260116C03400000,3502.55,6909.79
SPXW,2026-01-07,2026-01-16,4250,PUT,SPXW260116P04250000,0.05,6920.93
SPXW,2025-12-30,2026-01-16,4750,CALL,SPXW260116C04750000,2165.19,6896.24
SPXW,2026-01-09,2026-01-16,5225,PUT,SPXW260116P05225000,0.1,6966.28
SPXW,2025-12-29,2026-01-16,5410,PUT,SPXW260116P05410000,0.75,6905.74
SPXW,2026-01-09,2026-01-16,5510,PUT,SPXW260116P05510000,0.13,6966.28
SPXW,2025-11-24,2026-01-16,5580,CALL,SPXW260116C05580000,1157.11,6705.12
SPXW,2026-01-09,2026-01-16,5660,PUT,SPXW260116P05660000,0.1,6966.28
SPXW,2026-01-09,2026-01-16,5730,PUT,SPXW260116P05730000,0.1,6966.28
SPXW,2025-12-30,2026-01-16,5880,CALL,SPXW260116C05880000,1029.58,6896.24
SPXW,2025-12-17,2026-01-16,5970,CALL,SPXW260116C05970000,792.05,6721.43
SPXW,2026-01-09,2026-01-16,6065,PUT,SPXW260116P06065000,0.25,6966.28
SPXW,2026-01-09,2026-01-16,6110,PUT,SPXW260116P06110000,0.3,6966.28
SPXW,2026-01-09,2026-01-16,6200,PUT,SPXW260116P06200000,0.37,6966.28
SPXW,2026-01-09,2026-01-16,6250,PUT,SPXW260116P06250000,0.4,6966.28
SPXW,2025-11-10,2026-01-16,6305,CALL,SPXW260116C06305000,628.78,6832.43
SPXW,2025-12-30,2026-01-16,6365,CALL,SPXW260116C06365000,551.56,6896.24
SPXW,2026-01-09,2026-01-16,6415,PUT,SPXW260116P06415000,0.6,6966.28
SPXW,2026-01-02,2026-01-16,6455,CALL,SPXW260116C06455000,444.94,6858.47
SPXW,2026-01-09,2026-01-16,6505,PUT,SPXW260116P06505000,0.8,6966.28
SPXW,2026-01-09,2026-01-16,6550,PUT,SPXW260116P06550000,0.85,6966.28
SPXW,2025-12-12,2026-01-16,6605,CALL,SPXW260116C06605000,339.98,6827.41
SPXW,2026-01-09,2026-01-16,6645,PUT,SPXW260116P06645000,1.25,6966.28
