underlying_ticker,trading_date,maturity_date,strike,option_type,option_contract,option_price,spot_price
SPXW,2026-01-05,2026-01-12,4600,PUT,SPXW260112P04600000,0.05,6902.05
SPXW,2026-01-05,2026-01-12,4800,PUT,SPXW260112P04800000,0.05,6902.05
SPXW,2026-01-09,2026-01-12,5800,PUT,SPXW260112P05800000,0.05,6966.28
SPXW,2026-01-08,2026-01-12,5825,PUT,SPXW260112P05825000,0.1,6921.46
SPXW,2026-01-09,2026-01-12,6050,PUT,SPXW260112P06050000,0.05,6966.28
SPXW,2026-01-09,2026-01-12,6075,PUT,SPXW260112P06075000,0.05,6966.28
SPXW,2026-01-05,2026-01-12,6175,CALL,SPXW260112C06175000,741.73,6902.05
SPXW,2026-01-09,2026-01-12,6250,PUT,SPXW260112P06250000,0.05,6966.28
SPXW,2026-01-02,2026-01-12,6350,CALL,SPXW260112C06350000,513.59,6858.47
SPXW,2026-01-09,2026-01-12,6390,PUT,SPXW260112P06390000,0.05,6966.28
SPXW,2026-01-09,2026-01-12,6400,PUT,SPXW260112P06400000,0.05,6966.28
SPXW,2026-01-09,2026-01-12,6450,PUT,SPXW260112P06450000,0.05,6966.28
SPXW,2026-01-09,2026-01-12,6505,PUT,SPXW260112P06505000,0.25,6966.28
SPXW,2026-01-09,2026-01-12,6510,PUT,SPXW260112P06510000,0.1,6966.28
SPXW,2026-01-09,2026-01-12,6555,PUT,SPXW260112P06555000,0.15,6966.28
SPXW,2026-01-09,2026-01-12,6560,PUT,SPXW260112P06560000,0.15,6966.28
SPXW,2026-01-09,2026-01-12,6585,PUT,SPXW260112P06585000,0.16,6966.28
SPXW,2026-01-09,2026-01-12,6590,PUT,SPXW260112P06590000,0.17,6966.28
SPXW,2025-12-26,2026-01-12,6590,CALL,SPXW260112C06590000,354.84,6929.94
SPXW,2026-01-09,2026-01-12,6625,PUT,SPXW260112P06625000,0.1,6966.28
SPXW,2025-12-16,2026-01-12,6625,CALL,SPXW260112C06625000,216.61,6800.26
SPXW,2026-01-09,2026-01-12,6650,CALL,SPXW260112C06650000,323.8,6966.28
SPXW,2026-01-09,2026-01-12,6655,PUT,SPXW260112P06655000,0.1,6966.28
SPXW,2026-01-09,2026-01-12,6690,CALL,SPXW260112C06690000,276.6,6966.28
SPXW,2026-01-09,2026-01-12,6690,PUT,SPXW260112P06690000,0.12,6966.28
SPXW,2026-01-09,2026-01-12,6720,CALL,SPXW260112C06720000,199.62,6966.28
SPXW,2026-01-09,2026-01-12,6720,PUT,SPXW260112P06720000,0.15,6966.28
SPXW,2026-01-09,2026-01-12,6740,PUT,SPXW260112P06740000,0.12,6966.28
SPXW,2026-01-09,2026-01-12,6745,PUT,SPXW260112P06745000,0.12,6966.28
SPXW,2026-01-08,2026-01-12,6745,CALL,SPXW260112C06745000,194.92,6921.46
SPXW,2026-01-09,2026-01-12,6770,CALL,SPXW260112C06770000,200,6966.28
SPXW,2026-01-09,2026-01-12,6770,PUT,SPXW260112P06770000,0.15,6966.28
SPXW,2026-01-09,2026-01-12,6815,CALL,SPXW260112C06815000,162.91,6966.28
SPXW,2026-01-09,2026-01-12,6815,PUT,SPXW260112P06815000,0.3,6966.28
SPXW,2026-01-09,2026-01-12,6840,CALL,SPXW260112C06840000,131.24,6966.28
SPXW,2026-01-09,2026-01-12,6840,PUT,SPXW260112P06840000,0.38,6966.28
SPXW,2026-01-09,2026-01-12,6865,CALL,SPXW260112C06865000,108.25,6966.28
SPXW,2026-01-09,2026-01-12,6865,PUT,SPXW260112P06865000,0.6,6966.28
SPXW,2026-01-09,2026-01-12,6890,CALL,SPXW260112C06890000,78.2,6966.28
SPXW,2026-01-09,2026-01-12,6890,PUT,SPXW260112P06890000,1.27,6966.28
SPXW,2026-01-09,2026-01-12,6915,CALL,SPXW260112C06915000,52.99,6966.28
SPXW,2026-01-09,2026-01-12,6915,PUT,SPXW260112P06915000,2.6,6966.28
SPXW,2026-01-09,2026-01-12,6940,CALL,SPXW260112C06940000,30.22,6966.28
SPXW,2026-01-09,2026-01-12,6940,PUT,SPXW260112P06940000,5.4,6966.28
SPXW,2026-01-09,2026-01-12,6965,CALL,SPXW260112C06965000,12.92,6966.28
SPXW,2026-01-09,2026-01-12,6965,PUT,SPXW260112P06965000,12.9,6966.28
SPXW,2026-01-09,2026-01-12,6970,PUT,SPXW260112P06970000,15.2,6966.28
SPXW,2026-01-09,2026-01-12,6975,PUT,SPXW260112P06975000,18.05,6966.28
SPXW,2026-01-09,2026-01-12,7030,PUT,SPXW260112P07030000,64.53,6966.28
SPXW,2026-01-09,2026-01-12,7035,PUT,SPXW260112P07035000,59.85,6966.28
SPX,2025-11-28,2026-01-16,2700,CALL,SPX260116C02700000,4153.12,6849.09
SPXW,2026-01-08,2026-01-16,2800,PUT,SPXW260116P02800000,0.03,6921.46
SPX,2025-08-06,2026-01-16,3550,CALL,SPX260116C03550000,2846.69,6345.06
