underlying_ticker,trading_date,maturity_date,strike,option_type,option_contract,option_price,spot_price
SPX,2026-01-09,2026-01-16,200,CALL,SPX260116C00200000,6765,6966.28
SPX,2025-12-18,2026-01-16,200,PUT,SPX260116P00200000,0.04,6774.76
SPX,2026-01-05,2026-01-16,400,CALL,SPX260116C00400000,6501.98,6902.05
SPX,2026-01-02,2026-01-16,400,PUT,SPX260116P00400000,0.03,6858.47
SPX,2026-01-02,2026-01-16,600,CALL,SPX260116C00600000,6252.48,6858.47
SPX,2026-01-02,2026-01-16,600,PUT,SPX260116P00600000,0.03,6858.47
SPX,2025-12-04,2026-01-16,800,CALL,SPX260116C00800000,6053.53,6857.12
SPX,2025-11-26,2026-01-16,800,PUT,SPX260116P00800000,0.02,6812.61
SPX,2026-01-06,2026-01-16,1000,CALL,SPX260116C01000000,5933.19,6944.82
SPX,2026-01-05,2026-01-16,1000,PUT,SPX260116P01000000,0.03,6902.05
SPX,2026-01-06,2026-01-16,1200,CALL,SPX260116C01200000,5730.93,6944.82
SPX,2026-01-02,2026-01-16,1200,PUT,SPX260116P01200000,0.03,6858.47
SPX,2026-01-05,2026-01-16,1800,PUT,SPX260116P01800000,0.03,6902.05
SPX,2026-01-02,2026-01-16,2000,PUT,SPX260116P02000000,0.03,6858.47
SPX,2026-01-08,2026-01-16,2200,CALL,SPX260116C02200000,4739.34,6921.46
SPX,2026-01-05,2026-01-16,2200,PUT,SPX260116P02200000,0.03,6902.05
SPX,2025-11-25,2026-01-16,2300,PUT,SPX260116P02300000,0.25,6765.88
SPX,2026-01-02,2026-01-16,2400,CALL,SPX260116C02400000,4447.01,6858.47
SPX,2025-12-26,2026-01-16,2500,CALL,SPX260116C02500000,4426.65,6929.94
SPX,2026-01-09,2026-01-16,2500,PUT,SPX260116P02500000,0.03,6966.28
SPX,2025-12-26,2026-01-16,2600,CALL,SPX260116C02600000,4328,6929.94
SPX,2025-12-19,2026-01-16,2600,PUT,SPX260116P02600000,0.05,6834.5
SPX,2025-11-28,2026-01-16,2700,CALL,SPX260116C02700000,4153.12,6849.09
SPX,2025-12-22,2026-01-16,2700,PUT,SPX260116P02700000,0.05,6878.49
SPX,2025-12-12,2026-01-16,2900,CALL,SPX260116C02900000,3989.84,6827.41
SPX,2026-01-09,2026-01-16,2900,PUT,SPX260116P02900000,0.03,6966.28
SPX,2025-12-31,2026-01-16,3000,CALL,SPX260116C03000000,3890.85,6845.5
SPX,2025-12-23,2026-01-16,3100,CALL,SPX260116C03100000,3803.35,6909.79
SPX,2026-01-09,2026-01-16,3100,PUT,SPX260116P03100000,0.03,6966.28
SPX,2026-01-08,2026-01-16,3200,PUT,SPX260116P03200000,0.03,6921.46
SPX,2025-12-31,2026-01-16,3300,CALL,SPX260116C03300000,3556.58,6845.5
SPX,2026-01-08,2026-01-16,3300,PUT,SPX260116P03300000,0.03,6921.46
