Ticker,Name,ISIN
MMM,3M,US88579Y1010
AOS,A. O. Smith,US8318652091
ABT,Abbott Laboratories,US0028241000
ABBV,AbbVie,US00287Y1091
ACN,Accenture,IE00B4BNMY34
ADBE,Adobe Inc.,US00724F1012
AMD,Advanced Micro Devices,US0079031078
ABNB,Airbnb,US0090661010
GOOGL,Alphabet Inc. (Class A),US02079K3059
GOOG,Alphabet Inc. (Class C),US02079K1079
MO,Altria,US02209S1033
AMZN,Amazon,US0231351067
AXP,American Express,US0258161092
AMGN,Amgen,US0311621009
APH,Amphenol,US0320951017
ADI,Analog Devices,US0326541051
AAPL,Apple Inc.,US0378331005
AMAT,Applied Materials,US0382221051
APP,AppLovin,US03831W1080
ANET,Arista Networks,US0404132054
T,AT&T,US00206R1023
ADP,Automatic Data Processing,US0530151036
BAC,Bank of America,US0605051046
BRK.B,Berkshire Hathaway,US0846707026
BLK,BlackRock,US09290D1019
BX,Blackstone Inc.,US09260D1072
BNY,BNY Mellon,US0640581007
BA,Boeing,US0970231058
BKNG,Booking Holdings,US09857L1089
BMY,Bristol Myers Squibb,US1101221083
AVGO,Broadcom,US11135F1012
COF,Capital One,US14040H1059
CAT,Caterpillar Inc.,US1491231015
SCHW,Charles Schwab Corporation,US8085131055
CVX,Chevron Corporation,US1667641005
CB,Chubb Limited,CH0044328745
CSCO,Cisco,US17275R1023
C,Citigroup,US1729674242
KO,Coca-Cola Company (The),US1912161007
COP,ConocoPhillips,US20825C1045
GLW,Corning Inc.,US2193501051
COST,Costco,US22160K1051
CRWD,CrowdStrike,US22788C1053
CVS,CVS Health,US1266501006
DHR,Danaher Corporation,US2358511028
DE,Deere & Company,US2441991054
DELL,Dell Technologies,US24703L2025
ETN,Eaton Corporation,IE00B8KQN827
EQIX,Equinix,US29444U7000
XOM,ExxonMobil,US30233Q1085
FTNT,Fortinet,US34959E1091
GE,GE Aerospace,US3696043013
GEV,GE Vernova,US36828A1016
GD,General Dynamics,US3695501086
GILD,Gilead Sciences,US3755581036
GS,Goldman Sachs,US38141G1040
HD,Home Depot (The),US4370761029
HON,Honeywell,US4385161066
HWM,Howmet Aerospace,US4432011082
IBM,IBM,US4592001014
INTC,Intel,US4581401001
ISRG,Intuitive Surgical,US46120E6023
JNJ,Johnson & Johnson,US4781601046
JPM,JPMorgan Chase,US46625H1005
KLAC,KLA Corporation,US4824801009
LRCX,Lam Research,US5128073062
LLY,Lilly (Eli),US5324571083
LIN,Linde plc,IE000S9YS762
LMT,Lockheed Martin,US5398301094
LOW,Lowe's,US5486611073
MPC,Marathon Petroleum,US56585A1025
MA,Mastercard,US57636Q1040
MCD,McDonald's,US5801351017
MDT,Medtronic,IE00BTN1Y115
MRK,Merck & Co.,US58933Y1055
META,Meta Platforms,US30303M1027
MU,Micron Technology,US5951121038
MSFT,Microsoft,US5949181045
MS,Morgan Stanley,US6174464486
NFLX,Netflix,US64110L1061
NEM,Newmont,US6516391066
NEE,NextEra Energy,US65339F1012
NVDA,Nvidia,US67066G1040
ORCL,Oracle Corporation,US68389X1054
PLTR,Palantir Technologies,US69608A1088
PANW,Palo Alto Networks,US6974351057
PH,Parker Hannifin,US7010941042
PEP,PepsiCo,US7134481081
PFE,Pfizer,US7170811035
PM,Philip Morris International,US7181721090
PG,Procter & Gamble,US7427181091
PGR,Progressive Corporation,US7433151039
PLD,Prologis,US74340W1036
PWR,Quanta Services,US74762E1029
QCOM,Qualcomm,US7475251036
RTX,RTX Corporation,US75513E1010
SPGI,S&P Global,US78409V1044
CRM,Salesforce,US79466L3024
SNDK,Sandisk,US80004C2008
STX,Seagate Technology,IE00BKVD2N49
NOW,ServiceNow,US81762P1021
SO,Southern Company,US8425871071
SBUX,Starbucks,US8552441094
TSLA,Tesla,US88160R1014
TXN,Texas Instruments,US8825081040
TMO,Thermo Fisher Scientific,US8835561023
TJX,TJX Companies,US8725401090
UBER,Uber,US90353T1007
UNP,Union Pacific Corporation,US9078181081
UNH,UnitedHealth Group,US91324P1021
VZ,Verizon,US92343V1044
VRTX,Vertex Pharmaceuticals,US92532F1003
V,Visa Inc.,US92826C8394
WMT,Walmart,US9311421039
DIS,Walt Disney Company (The),US2546871060
WFC,Wells Fargo,US9497461015
WELL,Welltower,US95040Q1040
WDC,Western Digital,US9581021055
AES,AES Corporation,US00130H1059
AFL,Aflac,US0010551028
A,Agilent Technologies,US00846U1016
APD,Air Products,US0091581068
AKAM,Akamai Technologies,US00971T1016
ALB,Albemarle Corporation,US0126531013
ARE,Alexandria Real Estate Equities,US0152711091
ALGN,Align Technology,US0162551016
ALLE,Allegion,IE00BFRT3W74
LNT,Alliant Energy,US0188021085
ALL,Allstate,US0200021014
AMCR,Amcor,JE00BV7DQ550
AEE,Ameren,US0236081024
AEP,American Electric Power,US0255371017
AIG,American International Group,US0268747849
AMT,American Tower,US03027X1000
AWK,American Water Works,US0304201033
AMP,Ameriprise Financial,US03076C1062
AME,Ametek,US00165C1045
AON,Aon plc,IE00BLP1HW54
APA,APA Corporation,US03743Q1085
APO,Apollo Global Management,US03769M1062
APTV,Aptiv,JE00B783TY65
ACGL,Arch Capital Group,BMG0450A1053
ADM,Archer Daniels Midland,US0394831020
ARES,Ares Management,US04010L1035
AJG,Arthur J. Gallagher & Co.,US3635761097
AIZ,Assurant,US04621X1081
ATO,Atmos Energy,US0495601058
ADSK,Autodesk,US0527691069
AZO,AutoZone,US0533321024
AVB,AvalonBay Communities,US0534841012
AVY,Avery Dennison,US0536111091
AXON,Axon Enterprise,US05464C1018
BKR,Baker Hughes,US05722G1004
BALL,Ball Corporation,US0584981064
BAX,Baxter International,US0718131099
BDX,Becton Dickinson,US0758871091
BBY,Best Buy,US0865161014
TECH,Bio-Techne,US09073M1045
BIIB,Biogen,US09062X1037
XYZ,Block,US8522341036
BSX,Boston Scientific,US1011371077
BR,Broadridge Financial Solutions,US11133T1034
BRO,Brown & Brown,US1152361010
BF.B,Brown-Forman,US1156372096
BLDR,Builders FirstSource,US12008R1077
BG,Bunge Global,CH1300646267
BXP,BXP,US1011211018
CHRW,C.H. Robinson,US12468P1049
CDNS,Cadence Design Systems,US1273871087
CPT,Camden Property Trust,US1331311027
CPB,Campbell's Company (The),US1344291091
CAH,Cardinal Health,US14149Y1082
CCL,Carnival Corporation,BMG2004J1036
CARR,Carrier Global,US14448C1045
CVNA,Carvana,US1468691027
CASY,Casey's,US1475281036
CBOE,Cboe Global Markets,US12503M1080
CBRE,CBRE Group,US12504L1098
CDW,CDW Corporation,US12514G1085
COR,Cencora,US03073E1055
CNC,Centene Corporation,US15135B1017
CNP,CenterPoint Energy,US15189T1079
CF,CF Industries,US1252691001
CRL,Charles River Laboratories,US1598641074
CHTR,Charter Communications,US16119P1084
CMG,Chipotle Mexican Grill,US1696561059
CHD,Church & Dwight,US1713401024
CIEN,Ciena,US1717791016
CI,Cigna,US1255231003
CINF,Cincinnati Financial,US1720621010
CTAS,Cintas,US1729081014
CFG,Citizens Financial Group,US1746101054
CLX,Clorox,US1890541097
CME,CME Group,US12572Q1058
CMS,CMS Energy,US1258961002
CTSH,Cognizant,US1924461023
COHR,Coherent Corp.,US19247R1077
COIN,Coinbase,US19260Q1076
CL,Colgate-Palmolive,US1941621039
CMCSA,Comcast,US20030N1019
FIX,Comfort Systems USA,US1985161066
CAG,Conagra Brands,US2058871029
ED,Consolidated Edison,US2091151017
STZ,Constellation Brands,US21036P1084
CEG,Constellation Energy,US21037T1097
COO,Cooper Companies (The),US2166484020
CPRT,Copart,US2172041061
CPAY,Corpay,US2199481068
CTVA,Corteva,US22052L1044
CSGP,CoStar Group,US22160N1090
CRH,CRH plc,IE0001827041
CCI,Crown Castle,US22822V1017
CSX,CSX Corporation,US1264081035
CMI,Cummins,US2310211063
DRI,Darden Restaurants,US2371941053
DDOG,Datadog,US23804L1035
DVA,DaVita,US23918K1088
DECK,Deckers Brands,US2435371073
DAL,Delta Air Lines,US2473617023
DVN,Devon Energy,US25179M1036
DXCM,Dexcom,US2521311074
FANG,Diamondback Energy,US25278X1090
DLR,Digital Realty,US2538681030
DG,Dollar General,US2566771059
DLTR,Dollar Tree,US2567461080
D,Dominion Energy,US25746U1097
DPZ,Domino's,US25754A2015
DASH,DoorDash,US25809K1051
DOV,Dover Corporation,US2600031080
DOW,Dow Inc.,US2605571031
DHI,D. R. Horton,US23331A1097
DTE,DTE Energy,US2333311072
DUK,Duke Energy,US26441C2044
DD,DuPont,US26614N1028
EBAY,eBay Inc.,US2786421030
SATS,EchoStar,US2787681061
ECL,Ecolab,US2788651006
EIX,Edison International,US2810201077
EW,Edwards Lifesciences,US28176E1082
EA,Electronic Arts,US2855121099
ELV,Elevance Health,US2855251029
EME,Emcor,US29084Q1004
EMR,Emerson Electric,US2910111044
ETR,Entergy,US29364G1031
EOG,EOG Resources,US26875P1012
EPAM,EPAM Systems,US29414B1044
EQT,EQT Corporation,US26884L1098
EFX,Equifax,US2944291051
EQR,Equity Residential,US29476L1070
ERIE,Erie Indemnity,US29530P1021
ESS,Essex Property Trust,US2971781031
EL,Estee Lauder Companies (The),US5184391044
EG,Everest Group,BMG3223R1088
EVRG,Evergy,US30034W1064
ES,Eversource Energy,US30040W1080
EXC,Exelon,US30161N1019
EXE,Expand Energy,US1651677353
EXPE,Expedia Group,US30212P3038
EXPD,Expeditors International,US3021301094
EXR,Extra Space Storage,US30225T1025
FFIV,F5,US3156161024
FDS,FactSet,US3030751057
FICO,Fair Isaac,US3032501047
FAST,Fastenal,US3119001044
FRT,Federal Realty Investment Trust,US3137471015
FDX,FedEx,US31428X1063
FIS,Fidelity National Information Services,US31620M1018
FITB,Fifth Third Bancorp,US3167731005
FSLR,First Solar,US3364331070
FE,FirstEnergy,US3379321001
FISV,Fiserv,US3377381088
F,Ford Motor Company,US3453708600
FTV,Fortive,US34959J1088
FOXA,Fox Corporation (Class A),US35137L1026
FOX,Fox Corporation (Class B),US35137L2016
BEN,Franklin Resources,US3546131018
FCX,Freeport-McMoRan,US35671D8570
GRMN,Garmin,CH0114405324
IT,Gartner,US3666511072
GEHC,GE HealthCare,US36266G1076
GEN,Gen Digital,US6687711084
GNRC,Generac,US3687361044
GIS,General Mills,US3703341046
GM,General Motors,US37045V1008
GPC,Genuine Parts Company,US3724601055
GPN,Global Payments,US37940X1028
GL,Globe Life,US37959E1029
GDDY,GoDaddy,US3802371079
HAL,Halliburton,US4062161017
HIG,Hartford (The),US4165151048
HAS,Hasbro,US4280401079
HCA,HCA Healthcare,US40412C1018
DOC,Healthpeak Properties,US42250P1030
HSIC,Henry Schein,US8064071025
HSY,Hershey Company (The),US4311021077
HPE,Hewlett Packard Enterprise,US42824C1099
HLT,Hilton Worldwide,US43300A1043
HRL,Hormel Foods,US4404521001
HST,Host Hotels & Resorts,US44107P1049
HPQ,HP Inc.,US40434L1052
HUBB,Hubbell Incorporated,US4435106079
HUM,Humana,US4448591028
HBAN,Huntington Bancshares,US4461501045
HII,Huntington Ingalls Industries,US4464131063
IEX,IDEX Corporation,US45167R1041
IDXX,Idexx Laboratories,US45168R1041
ITW,Illinois Tool Works,US4523081093
INCY,Incyte,US45337C1027
IR,Ingersoll Rand,US45687V1061
PODD,Insulet Corporation,US45784P1012
IBKR,Interactive Brokers,US45841N1072
ICE,Intercontinental Exchange,US45866F1049
IFF,International Flavors & Fragrances,US4595061015
IP,International Paper,US4601461035
INTU,Intuit,US4612021034
IVZ,Invesco,BMG491641244
INVH,Invitation Homes,US46183W1027
IQV,IQVIA,US46266C1053
IRM,Iron Mountain,US46284V1017
JBHT,J.B. Hunt,US47215P1066
JBL,Jabil,US4663131039
JKHY,Jack Henry & Associates,US4621581068
J,Jacobs Solutions,US4698141078
JCI,Johnson Controls,IE00BY7QL619
KVUE,Kenvue,US4895661053
KDP,Keurig Dr Pepper,US49271M1009
KEY,KeyCorp,US4932671088
KEYS,Keysight Technologies,US49338L1035
KMB,Kimberly-Clark,US4943681035
KIM,Kimco Realty,US49446R1095
KMI,Kinder Morgan,US49456B1017
KKR,KKR & Co.,US48251W1045
KHC,Kraft Heinz,US5007541064
KR,Kroger,US5010441013
LHX,L3Harris,US5024311095
LH,Labcorp,US50540R4092
LVS,Las Vegas Sands,US51783P1057
LDOS,Leidos,US5253271028
LEN,Lennar,US5260571048
LII,Lennox International,US5261071071
LYV,Live Nation Entertainment,US53803G1040
L,Loews Corporation,US5404241031
LULU,Lululemon Athletica,US5500211090
LITE,Lumentum,US5494981039
LYB,LyondellBasell,NL0009434992
MTB,M&T Bank,US55261F1049
MAR,Marriott International,US5651051014
MRSH,Marsh McLennan,US5717481023
MLM,Martin Marietta Materials,US5732841060
MAS,Masco,US5745991068
MKC,McCormick & Company,US5797801019
MCK,McKesson Corporation,US58155Q1031
MET,MetLife,US59156R1086
MTD,Mettler Toledo,US5926881054
MGM,MGM Resorts,US5529531015
MCHP,Microchip Technology,US5950171042
MAA,Mid-America Apartment Communities,US59522J1034
MRNA,Moderna,US60770K1079
TAP,Molson Coors Beverage Company,US60871R1023
MDLZ,Mondelez International,US6092071058
MPWR,Monolithic Power Systems,US6098391054
MNST,Monster Beverage,US61174X1090
MCO,Moody's Corporation,US6153691059
MOS,Mosaic Company (The),US61945C1036
MSI,Motorola Solutions,US6200763075
MSCI,MSCI Inc.,US55354G1040
NDAQ,Nasdaq,US6311031081
NTAP,NetApp,US64120L1044
NWSA,News Corp (Class A),US65249B1098
NWS,News Corp (Class B),US65249B2088
NKE,Nike,US6541061031
NI,NiSource,US65473P1057
NDSN,Nordson Corporation,US6556631024
NSC,Norfolk Southern,US6558441084
NTRS,Northern Trust,US6658591044
NOC,Northrop Grumman,US6668071029
NCLH,Norwegian Cruise Line Holdings,BMG667211046
NRG,NRG Energy,US6293775085
NUE,Nucor,US6703461052
NVR,NVR,US62944T1051
NXPI,NXP Semiconductors,NL0009538784
ORLY,O'Reilly Automotive,US67103H1077
OXY,Occidental Petroleum,US6745991058
ODFL,Old Dominion,US6795801009
OMC,Omnicom Group,US6819191064
ON,ON Semiconductor,US6821891057
OKE,Oneok,US6826801036
OTIS,Otis Worldwide,US68902V1070
PCAR,Paccar,US6937181088
PKG,Packaging Corporation of America,US6951561090
PSKY,Paramount Skydance Corporation,US69924N1090
PAYX,Paychex,US7043261079
PYPL,PayPal,US70450Y1038
PNR,Pentair,IE00BLS09M33
PCG,PG&E Corporation,US69331C1080
PSX,Phillips 66,US7185461040
PNW,Pinnacle West Capital,US7234841010
PNC,PNC Financial Services,US6934751057
POOL,Pool Corporation,US73278L1052
PPG,PPG Industries,US6935061076
PPL,PPL Corporation,US69351T1060
PFG,Principal Financial Group,US74251V1026
PRU,Prudential Financial,US7443201022
PEG,Public Service Enterprise Group,US7445731067
PTC,PTC Inc.,US69370C1009
PSA,Public Storage,US74460W1099
PHM,PulteGroup,US7458671010
DGX,Quest Diagnostics,US74834L1008
Q,Qnity Electronics,US74743L1008
RL,Ralph Lauren Corporation,US7512121010
RJF,Raymond James Financial,US7547301090
O,Realty Income,US7561091049
REG,Regency Centers,US7588491032
REGN,Regeneron Pharmaceuticals,US75886F1075
RF,Regions Financial Corporation,US7591EP1011
RSG,Republic Services,US7607591002
RMD,ResMed,US7611521078
RVTY,Revvity,US7612871084
HOOD,Robinhood Markets,US7707001027
ROK,Rockwell Automation,US7739031091
ROL,"Rollins, Inc.",US7757111049
ROP,Roper Technologies,US7766961061
ROST,Ross Stores,US7782961038
RCL,Royal Caribbean Group,LR0008862868
SBAC,SBA Communications,US78410G1040
SLB,Schlumberger,AN8068571086
SRE,Sempra,US8168511090
SHW,Sherwin-Williams,US8243481061
SPG,Simon Property Group,US8288061091
SWKS,Skyworks Solutions,US83088M1027
SJM,J.M. Smucker Company (The),US7835491082
SW,Smurfit Westrock,IE0006H86HD3
SNA,Snap-on,US8330341012
SOLV,Solventum,US8457411066
LUV,Southwest Airlines,US8447411088
