排名,代码,ISIN
1,NVDA,US67066G1040
2,AAPL,US0378331005
3,GOOGL,US02079K3059
4,MSFT,US5949181045
5,AMZN,US0231351067
6,AVGO,US11135F1012
7,META,US30303M1027
8,MU,US5951121038
9,JPM,US46625H1005
10,LLY,US5324571083
11,TSLA,US88160R1014
12,BRK.B,US0846707026
13,AMD,US0079031078
14,XOM,US30233Q1085
15,JNJ,US4781601046
16,V,US92826C8394
17,WMT,US9311421039
18,MA,US57636Q1040
19,ABBV,US00287Y1091
20,INTC,US4581401001
21,CSCO,US17275R1023
22,COST,US22160K1051
23,BAC,US0605051046
24,LRCX,US5128073062
25,AMAT,US0382221051
26,PLTR,US69608A1088
27,CAT,US1491231015
28,GE,US3696043013
29,CVX,US1667641005
30,UNH,US91324P1021
31,KO,US1912161007
32,HD,US4370761029
33,MRK,US58933Y1055
34,PG,US7427181091
35,NFLX,US64110L1061
36,GS,US38141G1040
37,RTX,US75513E1010
38,PANW,US6974351057
39,PM,US7181721090
40,GEV,US36828A1016
41,WFC,US9497461015
42,MS,US6174464486
43,KLAC,US4824801009
44,TXN,US8825081040
45,ORCL,US68389X1054
46,SNDK,US80004C2008
47,C,US1729674242
48,AMGN,US0311621009
49,LIN,IE000S9YS762
50,TMO,US8835561023
51,IBM,US4592001014
52,CRWD,US22788C1053
53,VZ,US92343V1044
54,STX,IE00BKVD2N49
55,APH,US0320951017
56,ANET,US0404132054
57,ABT,US0028241000
58,PEP,US7134481081
59,MCD,US5801351017
60,SCHW,US8085131055
61,DIS,US2546871060
62,CRM,US79466L3024
63,ADI,US0326541051
64,NEE,US65339F1012
65,AXP,US0258161092
66,UNP,US9078181081
67,BA,US0970231058
68,GILD,US3755581036
69,T,US00206R1023
70,BKNG,US09857L1089
71,TJX,US8725401090
72,ETN,IE00B8KQN827
73,QCOM,US7475251036
74,BLK,US09290D1019
75,WDC,US9581021055
76,WELL,US95040Q1040
77,COP,US20825C1045
78,UBER,US90353T1007
79,PFE,US7170811035
80,DE,US2441991054
81,HON,US4385161066
82,ISRG,US46120E6023
83,COF,US14040H1059
84,DELL,US24703L2025
85,SPGI,US78409V1044
86,BMY,US1101221083
87,VRTX,US92532F1003
88,PH,US7010941042
89,PLD,US74340W1036
90,NEM,US6516391066
91,DHR,US2358511028
92,CB,CH0044328745
93,NOW,US81762P1021
94,GLW,US2193501051
95,LOW,US5486611073
96,LMT,US5398301094
97,SBUX,US8552441094
98,PGR,US7433151039
99,CVS,US1266501006
100,MDT,IE00BTN1Y115
