Ticker,Name,FIGI,ISIN
MMM,3M CO,BBG000BP52R2,BBG000BP52R2
AOS,SMITH (A.O.) CORP,BBG000BC1L02,BBG000BC1L02
ABT,ABBOTT LABORATORIES,BBG000B9ZXB4,BBG000B9ZXB4
ABBV,ABBVIE INC,BBG0025Y4RY4,BBG0025Y4RY4
ACN,ACCENTURE PLC-CL A,BBG000D9D830,BBG000D9D830
ADBE,ADOBE INC,BBG000BB5006,BBG000BB5006
AMD,ADVANCED MICRO DEVICES,BBG000BBQCY0,BBG000BBQCY0
AES,AES CORP,BBG000C23KJ3,BBG000C23KJ3
AFL,AFLAC INC,BBG000BBBNC6,BBG000BBBNC6
A,AGILENT TECHNOLOGIES INC,BBG000C2V3D6,BBG000C2V3D6
APD,AIR PRODUCTS & CHEMICALS INC,BBG000BC4JJ4,BBG000BC4JJ4
ABNB,AIRBNB INC-CLASS A,BBG001Y2XS07,BBG001Y2XS07
AKAM,AKAMAI TECHNOLOGIES INC,BBG000BJQWD2,BBG000BJQWD2
ALB,ALBEMARLE CORP,BBG000BJ26K7,BBG000BJ26K7
ARE,ALEXANDRIA REAL ESTATE EQUIT,BBG000BC33T9,BBG000BC33T9
ALGN,ALIGN TECHNOLOGY INC,BBG000BRNLL2,BBG000BRNLL2
ALLE,ALLEGION PLC,BBG003PS7JV1,BBG003PS7JV1
LNT,ALLIANT ENERGY CORP,BBG000DW4Q75,BBG000DW4Q75
ALL,ALLSTATE CORP,BBG000BVMGF2,BBG000BVMGF2
GOOGL,ALPHABET INC-CL A,BBG009S39JX6,BBG009S39JX6
GOOG,ALPHABET INC-CL C,BBG009S3NB30,BBG009S3NB30
MO,ALTRIA GROUP INC,BBG000BP6LJ8,BBG000BP6LJ8
AMZN,AMAZON.COM INC,BBG000BVPV84,BBG000BVPV84
AMCR,AMCOR PLC,BBG00LNJRQ09,BBG00LNJRQ09
AEE,AMEREN CORPORATION,BBG000B9X8C0,BBG000B9X8C0
AEP,AMERICAN ELECTRIC POWER,BBG000BB9KF2,BBG000BB9KF2
