underlying_ticker,trading_date,maturity_date,strike,option_type,option_contract,option_price,spot_price
SPX,2026-01-15,2027-12-17,400,CALL,SPX271217C00400000,6476.53,6942.51
SPX,2026-01-15,2027-12-17,400,PUT,SPX271217P00400000,0.35,6942.51
SPX,2026-01-05,2027-12-17,600,CALL,SPX271217C00600000,6222.74,6902.05
SPX,2026-01-15,2027-12-17,600,PUT,SPX271217P00600000,0.85,6942.51
SPX,2025-04-16,2027-12-17,800,CALL,SPX271217C00800000,4415.3,
SPX,2026-01-15,2027-12-17,800,PUT,SPX271217P00800000,1.84,6942.51
SPX,2025-12-11,2027-12-17,1000,CALL,SPX271217C01000000,5842.0,6901.0
SPX,2026-01-15,2027-12-17,1000,PUT,SPX271217P01000000,2.45,6942.51
SPX,2026-01-06,2027-12-17,1200,CALL,SPX271217C01200000,5710.81,6944.82
SPX,2026-01-15,2027-12-17,1200,PUT,SPX271217P01200000,3.8,6942.51
SPX,2025-12-29,2027-12-17,1400,CALL,SPX271217C01400000,5478.0,6905.74
SPX,2026-01-15,2027-12-17,1400,PUT,SPX271217P01400000,5.3,6942.51
SPX,2025-09-30,2027-12-17,1600,CALL,SPX271217C01600000,5097.01,6688.46
SPX,2026-01-15,2027-12-17,1600,PUT,SPX271217P01600000,7.2,6942.51
SPX,2024-08-09,2027-12-17,1800,CALL,SPX271217C01800000,3588.02,
SPX,2026-01-15,2027-12-17,1800,PUT,SPX271217P01800000,9.7,6942.51
SPX,2026-01-14,2027-12-17,2000,CALL,SPX271217C02000000,4928.82,6926.6
SPX,2026-01-15,2027-12-17,2000,PUT,SPX271217P02000000,12.5,6942.51
SPX,2025-09-09,2027-12-17,2200,CALL,SPX271217C02200000,4406.59,6512.61
SPX,2026-01-15,2027-12-17,2200,PUT,SPX271217P02200000,15.7,6942.51
SPX,2023-07-24,2027-12-17,2300,CALL,SPX271217C02300000,2530.58,
SPX,2026-01-15,2027-12-17,2300,PUT,SPX271217P02300000,17.3,6942.51
SPX,2025-12-09,2027-12-17,2400,CALL,SPX271217C02400000,4528.95,6840.51
SPX,2026-01-15,2027-12-17,2400,PUT,SPX271217P02400000,19.3,6942.51
SPX,2025-06-23,2027-12-17,2500,CALL,SPX271217C02500000,3632.88,6025.17
SPX,2026-01-15,2027-12-17,2500,PUT,SPX271217P02500000,21.5,6942.51
SPX,2024-03-12,2027-12-17,2600,CALL,SPX271217C02600000,2814.39,
SPX,2026-01-15,2027-12-17,2600,PUT,SPX271217P02600000,23.7,6942.51
SPX,2022-11-30,2027-12-17,2700,CALL,SPX271217C02700000,1797.03,
SPX,2026-01-15,2027-12-17,2700,PUT,SPX271217P02700000,26.0,6942.51
SPX,2025-03-31,2027-12-17,2800,CALL,SPX271217C02800000,2920.0,
SPX,2026-01-15,2027-12-17,2800,PUT,SPX271217P02800000,28.7,6942.51
SPX,2025-12-03,2027-12-17,2900,CALL,SPX271217C02900000,4071.82,6849.72
SPX,2026-01-15,2027-12-17,2900,PUT,SPX271217P02900000,31.3,6942.51
SPX,2025-09-17,2027-12-17,3000,CALL,SPX271217C03000000,3767.0,6600.35
SPX,2026-01-14,2027-12-17,3000,PUT,SPX271217P03000000,36.57,6926.6
SPX,2025-11-06,2027-12-17,3100,CALL,SPX271217C03100000,3850.29,6720.32
SPX,2026-01-15,2027-12-17,3100,PUT,SPX271217P03100000,37.0,6942.51
SPX,2023-03-13,2027-12-17,3200,CALL,SPX271217C03200000,1263.84,
SPX,2026-01-15,2027-12-17,3200,PUT,SPX271217P03200000,39.8,6942.51
SPX,2025-04-07,2027-12-17,3300,CALL,SPX271217C03300000,2024.16,
SPX,2026-01-15,2027-12-17,3300,PUT,SPX271217P03300000,43.5,6942.51
SPX,2026-01-15,2027-12-17,3400,CALL,SPX271217C03400000,3734.54,6942.51
SPX,2026-01-15,2027-12-17,3400,PUT,SPX271217P03400000,46.9,6942.51
SPX,2025-05-30,2027-12-17,3500,CALL,SPX271217C03500000,2700.14,5911.69
